z [m],qc [MPa],fs [MPa],u2 [MPa],ID,Blowcount [Blows/m],Normalised ENTRHU [-],Normalised hammer energy [-],Number of blows,Diameter [m],Bottom wall thickness [mm],Pile penetration [m]
0.5,5.1504,0.0312,0.0064,EK,,,,,2.48,50.0,31.0
1.0,11.681,0.0827,0.0154,EK,,,,,2.48,50.0,31.0
1.5,11.1076,0.1013,0.0191,EK,,,,,2.48,50.0,31.0
2.0,10.4497,0.127,0.0302,EK,,,,,2.48,50.0,31.0
2.5,10.5857619047619,0.1135880952380952,-0.1162416666666667,EK,,,,,2.48,50.0,31.0
3.0,19.40980952380953,0.1882904761904762,-0.02478333333333332,EK,,,,,2.48,50.0,31.0
3.5,29.7187,0.2842,0.03915,EK,,,,,2.48,50.0,31.0
4.0,30.7355,0.2936,0.04665,EK,4.0,0.108125,0.1441666666666667,5.0,2.48,50.0,31.0
4.5,30.56,0.2997,0.05415,EK,6.0,0.1114041666666667,0.1485416666666667,9.5,2.48,50.0,31.0
5.0,28.8433,0.2636,0.05385,EK,8.0,0.1146833333333333,0.1529166666666667,14.0,2.48,50.0,31.0
5.5,28.2243,0.2689,0.06035,EK,18.0,0.1149666666666667,0.1532916666666667,24.0,2.48,50.0,31.0
6.0,31.41603333333333,0.2355333333333333,0.06373333333333334,EK,28.0,0.11525,0.1536666666666667,34.0,2.48,50.0,31.0
6.5,27.5044,0.2402,0.07869999999999999,EK,32.0,0.1223125,0.1630833333333334,51.0,2.48,50.0,31.0
7.0,27.1576,0.2381,0.0864,EK,36.0,0.129375,0.1725,68.0,2.48,50.0,31.0
7.5,27.775,0.2428,0.0914,EK,34.0,0.1420291666666667,0.189375,83.0,2.48,50.0,31.0
8.0,25.6258,0.2495,0.1084,EK,32.0,0.1546833333333333,0.20625,98.0,2.48,50.0,31.0
8.5,24.0875,0.2357,0.1026,EK,32.0,0.1738416666666667,0.2317916666666667,112.5,2.48,50.0,31.0
9.0,26.922994,0.258358,0.1033935,EK,32.0,0.193,0.2573333333333334,127.0,2.48,50.0,31.0
9.5,26.477144,0.222408,0.09393100000000001,EK,26.0,0.2106875,0.2809166666666667,138.0,2.48,50.0,31.0
10.0,28.0096,0.2506,0.091475,EK,20.0,0.228375,0.3045,149.0,2.48,50.0,31.0
10.5,29.6673,0.2659,0.100675,EK,24.0,0.2335625,0.3114166666666667,162.0,2.48,50.0,31.0
11.0,29.1433,0.2525,0.101175,EK,28.0,0.23875,0.3183333333333334,175.0,2.48,50.0,31.0
11.5,31.4251,0.2771,0.104375,EK,36.0,0.2374375,0.3165833333333334,197.0,2.48,50.0,31.0
12.0,42.347,0.3652,0.106675,EK,44.0,0.236125,0.3148333333333334,219.0,2.48,50.0,31.0
12.5,45.493828,0.3676480000000001,0.107681,EK,60.0,0.2557208333333333,0.3409583333333334,252.5,2.48,50.0,31.0
13.0,44.031,0.2804,0.117325,EK,76.0,0.2753166666666667,0.3670833333333333,286.0,2.48,50.0,31.0
13.5,33.5392,0.1972,0.123025,EK,80.0,0.3030958333333333,0.404125,330.0,2.48,50.0,31.0
14.0,16.6663,0.1533,0.122825,EK,84.0,0.330875,0.4411666666666667,374.0,2.48,50.0,31.0
14.5,9.7041,0.1141,0.130525,EK,90.0,0.34225,0.4563333333333334,421.5,2.48,50.0,31.0
15.0,29.6587,0.2206,0.133925,EK,96.0,0.353625,0.4715,469.0,2.48,50.0,31.0
15.5,34.41329200000001,0.238416,0.138291,EK,90.0,0.381125,0.5081666666666667,513.5,2.48,50.0,31.0
16.0,22.3959,0.2158,0.140275,EK,84.0,0.408625,0.5448333333333333,558.0,2.48,50.0,31.0
16.5,7.0497,0.1683,0.103475,EK,88.0,0.4131583333333333,0.550875,602.0,2.48,50.0,31.0
17.0,25.8212,0.2195,0.04637500000000001,EK,92.0,0.4176916666666667,0.5569166666666666,646.0,2.48,50.0,31.0
17.5,20.4271,0.224,-0.06962499999999999,EK,88.0,0.42125,0.5616666666666666,687.0,2.48,50.0,31.0
18.0,21.5396,0.2884,0.07027500000000002,EK,84.0,0.4248083333333333,0.5664166666666667,728.0,2.48,50.0,31.0
18.5,38.366,0.4415666666666667,0.09599166666666667,EK,82.0,0.4331208333333333,0.5775,769.5,2.48,50.0,31.0
19.0,42.2042,0.5185,0.149425,EK,80.0,0.4414333333333333,0.5885833333333333,811.0,2.48,50.0,31.0
19.5,25.7707,0.3785,0.144725,EK,84.0,0.4456541666666667,0.5942083333333333,853.0,2.48,50.0,31.0
20.0,24.5497,0.2716,0.109025,EK,88.0,0.449875,0.5998333333333333,895.0,2.48,50.0,31.0
