ID location 1,ID location 2,Interdistance class
BJ,BJ,<500m
BJ,EK,3000m - 4500m
BJ,DE,3000m - 4500m
BJ,CS,>4500m
BJ,CV,>4500m
BJ,DH,1500m - 3000m
BJ,BG,>4500m
BJ,AA,>4500m
BJ,CD,1500m - 3000m
BJ,CA,>4500m
BJ,DW,3000m - 4500m
BJ,BX,>4500m
BJ,CG,500m - 1500m
BJ,CJ,500m - 1500m
BJ,AU,>4500m
BJ,AF,>4500m
BJ,DQ,1500m - 3000m
BJ,AX,>4500m
BJ,DZ,3000m - 4500m
BJ,BU,>4500m
BJ,BR,>4500m
BJ,EC,1500m - 3000m
BJ,DT,1500m - 3000m
BJ,AD,>4500m
BJ,AR,>4500m
BJ,CM,500m - 1500m
BJ,CY,>4500m
BJ,BD,>4500m
BJ,EE,1500m - 3000m
BJ,BO,1500m - 3000m
BJ,CP,1500m - 3000m
BJ,AO,>4500m
BJ,DK,1500m - 3000m
BJ,DN,1500m - 3000m
BJ,AI,>4500m
BJ,AL,>4500m
BJ,BL,500m - 1500m
BJ,EH,1500m - 3000m
BJ,BA,>4500m
BJ,DB,>4500m
BJ,BK,<500m
BJ,EL,3000m - 4500m
BJ,DF,3000m - 4500m
BJ,CT,>4500m
BJ,CW,>4500m
BJ,DI,1500m - 3000m
BJ,BH,>4500m
BJ,AB,>4500m
BJ,CE,1500m - 3000m
BJ,CB,>4500m
BJ,DX,3000m - 4500m
BJ,BY,>4500m
BJ,CH,500m - 1500m
BJ,CK,500m - 1500m
BJ,AV,>4500m
BJ,AG,>4500m
BJ,DR,1500m - 3000m
BJ,AY,>4500m
BJ,EA,3000m - 4500m
BJ,BV,>4500m
BJ,BS,>4500m
BJ,DU,1500m - 3000m
BJ,AS,>4500m
BJ,CN,500m - 1500m
BJ,CZ,>4500m
BJ,BE,>4500m
BJ,EF,1500m - 3000m
BJ,BP,1500m - 3000m
BJ,CQ,1500m - 3000m
BJ,AP,>4500m
BJ,DL,1500m - 3000m
BJ,DO,1500m - 3000m
BJ,AJ,>4500m
BJ,AM,>4500m
BJ,BM,500m - 1500m
BJ,EI,1500m - 3000m
BJ,BB,>4500m
BJ,DC,>4500m
BJ,EM,3000m - 4500m
BJ,DG,3000m - 4500m
BJ,CU,>4500m
BJ,CX,>4500m
BJ,DJ,1500m - 3000m
BJ,BI,>4500m
BJ,AC,>4500m
BJ,CF,1500m - 3000m
BJ,CC,>4500m
BJ,DY,3000m - 4500m
BJ,BZ,>4500m
BJ,CI,500m - 1500m
BJ,CL,500m - 1500m
BJ,AW,>4500m
BJ,AH,>4500m
BJ,DS,1500m - 3000m
BJ,AZ,>4500m
BJ,EB,3000m - 4500m
BJ,BW,>4500m
BJ,BT,>4500m
BJ,ED,1500m - 3000m
BJ,DV,1500m - 3000m
BJ,AE,>4500m
BJ,AT,>4500m
BJ,CO,500m - 1500m
BJ,DA,>4500m
BJ,BF,>4500m
BJ,EG,1500m - 3000m
BJ,BQ,1500m - 3000m
BJ,CR,1500m - 3000m
BJ,AQ,>4500m
BJ,DM,1500m - 3000m
BJ,DP,1500m - 3000m
BJ,AK,>4500m
BJ,AN,>4500m
BJ,BN,500m - 1500m
BJ,EJ,1500m - 3000m
BJ,BC,>4500m
BJ,DD,>4500m
EK,BJ,3000m - 4500m
EK,EK,<500m
EK,DE,>4500m
EK,CS,>4500m
EK,CV,>4500m
EK,DH,3000m - 4500m
EK,BG,>4500m
EK,AA,>4500m
EK,CD,3000m - 4500m
EK,CA,>4500m
EK,DW,3000m - 4500m
EK,BX,>4500m
EK,CG,3000m - 4500m
EK,CJ,1500m - 3000m
EK,AU,>4500m
EK,AF,>4500m
EK,DQ,500m - 1500m
EK,AX,>4500m
EK,DZ,3000m - 4500m
EK,BU,>4500m
EK,BR,>4500m
